zcta,time_period,population,Start date,end date,case count,test count,positive tests,case rate,test rate,positivity rate
95129,52,39741,12/5/2021,12/25/2021,115,6032,136,13.8,722.8,2.3
95129,28,39741,7/19/2020,8/8/2020,22,1665,24,2.6,199.5,1.4
95129,47,39741,8/22/2021,9/11/2021,55,5908,62,6.6,707.9,1
95129,46,39741,8/1/2021,8/21/2021,75,4853,89,9,581.5,1.8
95129,53,39741,12/26/2021,1/15/2022,1285,12312,1451,154,1475.3,11.8
95129,56,39741,2/27/2022,3/19/2022,92,9835,104,11,1178.5,1.1
95129,57,39741,3/20/2022,4/9/2022,71,9055,87,8.5,1085,1
95129,26,39741,6/7/2020,6/27/2020,32,1282,37,3.8,153.6,2.9
95129,59,39741,5/1/2022,5/21/2022,438,10685,503,52.5,1280.3,4.7
95129,64,39741,8/14/2022,9/3/2022,117,2337,138,14,280,5.9
95129,51,39741,11/14/2021,12/4/2021,55,5171,57,6.6,619.6,1.1
95129,63,39741,7/24/2022,8/13/2022,193,2497,236,23.1,299.2,9.5
95128,155,36975,2/6/2022,2/26/2022,287,7077,407,37,911.4,5.8
95128,51,36975,11/14/2021,12/4/2021,59,5117,70,7.6,659,1.4
95128,38,36975,2/14/2021,3/6/2021,81,4509,99,10.4,580.7,2.2
95128,43,36975,5/30/2021,6/19/2021,12,2842,15,1.5,366,0.5
95128,40,36975,3/28/2021,4/17/2021,38,5391,47,4.9,694.3,0.9
95128,36,36975,1/3/2021,1/23/2021,479,6659,539,61.7,857.6,8.1
95128,61,36975,6/12/2022,7/2/2022,377,3212,438,48.6,413.7,13.6
95128,65,36975,9/4/2022,9/24/2022,72,1858,83,9.3,239.3,4.5
95128,59,36975,5/1/2022,5/21/2022,380,6975,441,48.9,898.3,6.3
95128,54,36975,1/16/2022,2/5/2022,1079,10801,1469,139,1391,13.6
95128,27,36975,6/28/2020,7/18/2020,79,2448,84,10.2,315.3,3.4
95128,37,36975,1/24/2021,2/13/2021,145,5235,191,18.7,674.2,3.6
95128,24,36975,4/26/2020,5/16/2020,,506,12,0.8,65.2,2.4
95128,67,36975,10/16/2022,11/5/2022,14,803,20,1.8,103.4,2.5
95128,28,36975,7/19/2020,8/8/2020,94,2218,102,12.1,285.6,4.6
95128,39,36975,3/7/2021,3/27/2021,48,4663,68,6.2,600.5,1.5
95128,32,36975,10/11/2020,10/31/2020,42,3560,55,5.4,458.5,1.5
95128,26,36975,6/7/2020,6/27/2020,31,1961,35,4,252.6,1.8
95128,23,36975,4/5/2020,4/25/2020,16,294,16,2.1,37.9,5.4
95128,50,36975,10/24/2021,11/13/2021,75,4899,84,9.7,630.9,1.7
95128,44,36975,6/20/2021,7/10/2021,21,2224,23,2.7,286.4,1
95128,52,36975,12/5/2021,12/25/2021,134,6033,160,17.3,777,2.7
95128,48,36975,9/12/2021,10/2/2021,86,5031,96,11.1,647.9,1.9
95128,22,36975,3/15/2020,4/4/2020,17,157,16,2.2,20.2,10.2
95128,21,36975,2/23/2020,3/14/2020,,,,0.3,0.9,28.6
95128,18,36975,12/22/2019,1/11/2020,0,,,0,0.3,0
95128,60,36975,5/22/2022,6/11/2022,409,5556,488,52.7,715.5,8.8
95128,35,36975,12/13/2020,1/2/2021,634,6491,747,81.7,836,11.5
95128,33,36975,11/1/2020,11/21/2020,128,4843,138,16.5,623.7,2.8
95128,64,36975,8/14/2022,9/3/2022,132,2138,146,17,275.3,6.8
95128,25,36975,5/17/2020,6/6/2020,12,978,12,1.5,126,1.2
95128,45,36975,7/11/2021,7/31/2021,115,3507,141,14.8,451.7,4
95128,29,36975,8/9/2020,8/29/2020,69,2844,89,8.9,366.3,3.1
95128,49,36975,10/3/2021,10/23/2021,63,4858,68,8.1,625.6,1.4
95128,57,36975,3/20/2022,4/9/2022,69,4648,86,8.9,598.6,1.9
95128,47,36975,8/22/2021,9/11/2021,146,5910,175,18.8,761.1,3
95128,56,36975,2/27/2022,3/19/2022,67,6561,85,8.6,845,1.3
95128,41,36975,4/18/2021,5/8/2021,33,4483,47,4.2,577.4,1
95128,42,36975,5/9/2021,5/29/2021,16,3720,20,2.1,479.1,0.5
95128,34,36975,11/22/2020,12/12/2020,531,6312,641,68.4,812.9,10.2
95128,31,36975,9/20/2020,10/10/2020,41,3316,44,5.3,427.1,1.3
95128,66,36975,9/25/2022,10/15/2022,54,1584,60,7,204,3.8
95128,53,36975,12/26/2021,1/15/2022,1617,11289,1841,208.2,1453.9,16.3
95128,62,36975,7/3/2022,7/23/2022,327,2747,377,42.1,353.8,13.7
95128,63,36975,7/24/2022,8/13/2022,260,2351,310,33.5,302.8,13.2
95128,46,36975,8/1/2021,8/21/2021,194,5080,223,25,654.2,4.4
95128,58,36975,4/10/2022,4/30/2022,152,5458,188,19.6,702.9,3.4
95128,30,36975,8/30/2020,9/19/2020,43,2793,47,5.5,359.7,1.7
95127,55,66256,2/6/2022,2/26/2022,426,8969,530,30.6,644.6,5.9
95127,64,66256,8/14/2022,9/3/2022,293,3382,342,21.1,243.1,10.1
95127,23,66256,4/5/2020,4/25/2020,66,434,77,4.7,31.2,17.7
95127,46,66256,8/1/2021,8/21/2021,407,8307,479,29.3,597,5.8
95127,65,66256,9/4/2022,9/24/2022,144,2884,161,10.3,207.3,5.6
95127,35,66256,12/13/2020,1/2/2021,1465,11316,1633,105.3,813.3,14.4
95127,63,66256,7/24/2022,8/13/2022,532,3691,637,38.2,265.3,17.3
95127,61,66256,6/12/2022,7/2/2022,727,4982,837,52.3,358.1,16.8
95127,51,66256,11/14/2021,12/4/2021,185,6586,208,13.3,473.3,3.2
95127,53,66256,12/26/2021,1/15/2022,3627,17974,4061,260.7,1291.8,22.6
95127,36,66256,1/3/2021,1/23/2021,1477,12414,1668,106.2,892.2,13.4
95127,66,66256,9/25/2022,10/15/2022,107,2438,118,7.7,175.2,4.8
95127,56,66256,2/27/2022,3/19/2022,123,7013,159,8.8,504,2.3
95127,31,66256,9/20/2020,10/10/2020,127,3874,144,9.1,278.4,3.7
95127,22,66256,3/15/2020,4/4/2020,74,289,76,5.3,20.8,26.3
95127,21,66256,2/23/2020,3/14/2020,20,31,20,1.4,2.2,64.5
95127,18,66256,12/22/2019,1/11/2020,0,,,0,0.1,0
95127,58,66256,4/10/2022,4/30/2022,264,5666,336,19,407.2,5.9
95127,25,66256,5/17/2020,6/6/2020,41,1535,52,2.9,110.3,3.4
95127,57,66256,3/20/2022,4/9/2022,118,6013,164,8.5,432.2,2.7
95127,34,66256,11/22/2020,12/12/2020,1211,9858,1348,87,708.5,13.7
95127,29,66256,8/9/2020,8/29/2020,262,4002,293,18.8,287.6,7.3
95127,24,66256,4/26/2020,5/16/2020,35,986,85,2.5,70.9,8.6
95127,33,66256,11/1/2020,11/21/2020,471,6314,537,33.9,453.8,8.5
95127,44,66256,6/20/2021,7/10/2021,55,3557,63,4,255.6,1.8
95127,59,66256,5/1/2022,5/21/2022,540,8247,659,38.8,592.7,8
95127,50,66256,10/24/2021,11/13/2021,129,6957,147,9.3,500,2.1
95127,45,66256,7/11/2021,7/31/2021,153,4661,184,11,335,3.9
95127,47,66256,8/22/2021,9/11/2021,316,10613,387,22.7,762.8,3.6
95127,49,66256,10/3/2021,10/23/2021,141,7164,164,10.1,514.9,2.3
95127,60,66256,5/22/2022,6/11/2022,728,7355,861,52.3,528.6,11.7
95127,67,66256,10/16/2022,11/5/2022,40,1276,49,2.9,91.7,3.8
95127,54,66256,1/16/2022,2/5/2022,2265,16825,2905,162.8,1209.2,17.3
95127,27,66256,6/28/2020,7/18/2020,266,4059,287,19.1,291.7,7.1
95127,62,66256,7/3/2022,7/23/2022,715,4474,862,51.4,321.6,19.3
95127,43,66256,5/30/2021,6/19/2021,13,3848,16,0.9,276.6,0.4
95127,40,66256,3/28/2021,4/17/2021,119,6125,141,8.6,440.2,2.3
95127,52,66256,12/5/2021,12/25/2021,265,7271,302,19,522.6,4.2
95127,39,66256,3/7/2021,3/27/2021,100,5982,134,7.2,429.9,2.2
95127,32,66256,10/11/2020,10/31/2020,172,4586,202,12.4,329.6,4.4
95127,28,66256,7/19/2020,8/8/2020,293,4204,338,21.1,302.1,8
95127,41,66256,4/18/2021,5/8/2021,77,6304,97,5.5,453.1,1.5
95127,42,66256,5/9/2021,5/29/2021,32,5158,47,2.3,370.7,0.9
95127,38,66256,2/14/2021,3/6/2021,238,6684,284,17.1,480.4,4.2
95127,30,66256,8/30/2020,9/19/2020,203,3546,233,14.6,254.9,6.6
95127,26,66256,6/7/2020,6/27/2020,101,2783,119,7.3,200,4.3
95127,48,66256,9/12/2021,10/2/2021,154,9047,200,11.1,650.2,2.2
95127,37,66256,1/24/2021,2/13/2021,499,8555,622,35.9,614.9,7.3
95035,28,79655,7/19/2020,8/8/2020,130,3353,148,7.8,200.4,4.4
95035,34,79655,11/22/2020,12/12/2020,580,9670,638,34.7,578.1,6.6
95035,64,79655,8/14/2022,9/3/2022,291,3645,336,17.4,217.9,9.2
95035,26,79655,6/7/2020,6/27/2020,39,2497,39,2.3,149.3,1.6
95035,54,79655,1/16/2022,2/5/2022,1606,17383,2067,96,1039.2,11.9
95035,49,79655,10/3/2021,10/23/2021,81,15599,92,4.8,932.5,0.6
95035,48,79655,9/12/2021,10/2/2021,105,19134,113,6.3,1143.9,0.6
95035,31,79655,9/20/2020,10/10/2020,63,4398,77,3.8,262.9,1.8
95035,44,79655,6/20/2021,7/10/2021,44,5023,46,2.6,300.3,0.9
95035,25,79655,5/17/2020,6/6/2020,13,1511,18,0.8,90.3,1.2
95035,63,79655,7/24/2022,8/13/2022,496,4325,614,29.7,258.6,14.2
95035,56,79655,2/27/2022,3/19/2022,131,7989,173,7.8,477.6,2.2
95035,39,79655,3/7/2021,3/27/2021,99,7334,109,5.9,438.4,1.5
95035,42,79655,5/9/2021,5/29/2021,12,7144,18,0.7,427.1,0.3
95035,43,79655,5/30/2021,6/19/2021,12,5420,18,0.7,324,0.3
95035,41,79655,4/18/2021,5/8/2021,88,7797,112,5.3,466.1,1.4
95035,22,79655,3/15/2020,4/4/2020,36,247,37,2.2,14.8,15
95035,21,79655,2/23/2020,3/14/2020,,19,,0.3,1.1,26.3
95035,32,79655,10/11/2020,10/31/2020,77,5091,85,4.6,304.3,1.7
95035,24,79655,4/26/2020,5/16/2020,,758,27,0.6,45.3,3.6
95035,30,79655,8/30/2020,9/19/2020,80,3709,97,4.8,221.7,2.6
95035,23,79655,4/5/2020,4/25/2020,30,474,43,1.8,28.3,9.1
95035,60,79655,5/22/2022,6/11/2022,928,8058,1149,55.5,481.7,14.3
95035,36,79655,1/3/2021,1/23/2021,737,11352,855,44.1,678.6,7.5
95035,27,79655,6/28/2020,7/18/2020,86,3358,98,5.1,200.7,2.9
95035,59,79655,5/1/2022,5/21/2022,837,8479,950,50,506.9,11.2
95035,53,79655,12/26/2021,1/15/2022,3202,19888,3619,191.4,1188.9,18.2
95035,45,79655,7/11/2021,7/31/2021,156,6280,176,9.3,375.4,2.8
95035,67,79655,10/16/2022,11/5/2022,86,1392,106,5.1,83.2,7.6
95035,40,79655,3/28/2021,4/17/2021,114,7992,129,6.8,477.8,1.6
95035,33,79655,11/1/2020,11/21/2020,169,6803,190,10.1,406.7,2.8
95035,47,79655,8/22/2021,9/11/2021,161,20177,195,9.6,1206.2,1
95035,29,79655,8/9/2020,8/29/2020,103,3428,129,6.2,204.9,3.8
95035,55,79655,2/6/2022,2/26/2022,422,10768,520,25.2,643.7,4.8
95035,37,79655,1/24/2021,2/13/2021,270,8502,330,16.1,508.3,3.9
95035,50,79655,10/24/2021,11/13/2021,91,8324,108,5.4,497.6,1.3
95035,58,79655,4/10/2022,4/30/2022,319,6484,380,19.1,387.6,5.9
95035,51,79655,11/14/2021,12/4/2021,98,9025,112,5.9,539.5,1.2
95035,61,79655,6/12/2022,7/2/2022,899,6326,1069,53.7,378.2,16.9
95035,35,79655,12/13/2020,1/2/2021,807,10783,910,48.2,644.6,8.4
95035,52,79655,12/5/2021,12/25/2021,241,9771,284,14.4,584.1,2.9
95035,57,79655,3/20/2022,4/9/2022,156,6385,198,9.3,381.7,3.1
95035,62,79655,7/3/2022,7/23/2022,763,5428,870,45.6,324.5,16
95035,65,79655,9/4/2022,9/24/2022,171,3414,199,10.2,204.1,5.8
95035,38,79655,2/14/2021,3/6/2021,97,7315,121,5.8,437.3,1.7
95035,66,79655,9/25/2022,10/15/2022,146,3001,180,8.7,179.4,6
95035,46,79655,8/1/2021,8/21/2021,263,9213,311,15.7,550.8,3.4
94087,23,56668,5-Apr,25-Apr,39,395,42,3.3,33.2,10.6
94087,34,56668,22-Nov,12-Dec,189,6976,209,15.9,586.2,3
94087,32,56668,11-Oct,31-Oct,19,4371,35000,1.6,367.3,0.5
94087,33,56668,1-Nov,21-Nov,47,5877,66,3.9,493.9,1.1
94087,29,56668,9-Aug,29-Aug,25,3276,31,2.1,275.3,0.9
94087,24,56668,26-Apr,16-May,,691,35,0.4,58.1,5.1
94087,63,56668,24-Jul,13-Aug,290,3511,337,24.4,295,9.6
94087,51,56668,14-Nov,4-Dec,84,8396,93,7.1,705.5,1.1
94087,40,56668,28-Mar,17-Apr,39,6726,48,3.3,565.2,0.7
94087,61,56668,12-Jun,2-Jul,461,5084,542,38.7,427.2,10.7
94087,28,56668,19-Jul,8-Aug,42,3238,45,3.5,272.1,1.4
94087,39,56668,7-Mar,27-Mar,52,6493,61,4.4,545.6,0.9
94087,65,56668,4-Sep,24-Sep,122,3232,138,10.3,271.6,4.3
94087,58,56668,10-Apr,30-Apr,246,8209,261,20.7,689.8,3.2
94087,30,56668,30-Aug,19-Sep,24,3021,24,2,253.9,0.8
94087,27,56668,28-Jun,18-Jul,36,3478,38,3,292.3,1.1
94087,25,56668,17-May,6-Jun,,990,,0.3,83.2,0.5
94087,67,56668,16-Oct,5-Nov,39,1280,48,3.3,107.6,3.8
94087,22,56668,15-Mar,4-Apr,16,190,17,1.3,16,8.9
94087,21,56668,23-Feb,14-Mar,,11,,0.3,0.9,27.3
94087,20,56668,2-Feb,22-Feb,0,,,0,0.1,0
94087,44,56668,20-Jun,10-Jul,20,4525,26,1.7,380.2,0.6
94087,31,56668,20-Sep,10-Oct,19,4100,27,1.6,344.5,0.7
94087,66,56668,25-Sep,15-Oct,122,2897,133,10.3,243.4,4.6
94087,38,56668,14-Feb,6-Mar,59,6255,69,5,525.6,1.1
94087,59,56668,1-May,21-May,530,12581,596,44.5,1057.2,4.7
94087,62,56668,3-Jul,23-Jul,418,4359,476,35.1,366.3,10.9
94087,26,56668,7-Jun,27-Jun,12,2126,15,1,178.7,0.7
94087,57,56668,20-Mar,9-Apr,114,10771,126,9.6,905.1,1.2
94087,48,56668,12-Sep,2-Oct,60,9408,67,5,790.6,0.7
94087,47,56668,22-Aug,11-Sep,102,8940,114,8.6,751.2,1.3
94087,45,56668,11-Jul,31-Jul,77,5317,87,6.5,446.8,1.6
94087,43,56668,30-May,19-Jun,13,4980,14,1.1,418.5,0.3
94087,36,56668,3-Jan,23-Jan,278,7909,319,23.4,664.6,4
94087,49,56668,3-Oct,23-Oct,46,8751,51,3.9,735.4,0.6
94087,50,56668,24-Oct,13-Nov,81,9009,89,6.8,757,1
94087,42,56668,9-May,29-May,,5425,,0.4,455.9,0.2
94087,46,56668,1-Aug,21-Aug,126,7798,154,10.6,655.3,2
94087,56,56668,27-Feb,19-Mar,88,11016,110,7.4,925.7,1
94087,52,56668,5-Dec,25-Dec,191,9336,211,16.1,784.5,2.3
94087,37,56668,24-Jan,13-Feb,105,6709,136,8.8,563.8,2
94087,41,56668,18-Apr,8-May,37,6947,46,3.1,583.8,0.7
94087,55,56668,6-Feb,26-Feb,217,13726,276,18.2,1153.4,2
94087,54,56668,16-Jan,5-Feb,860,18000,1117,72.3,1512.6,6.2
94087,53,56668,26-Dec,15-Jan,1659,16561,1951,139.4,1391.6,11.8
94087,60,56668,22-May,11-Jun,606,10179,683,50.9,855.4,6.7
94087,35,56668,13-Dec,2-Jan,350,7249,396,29.4,609.1,5.5
94087,64,56668,14-Aug,3-Sep,164,3343,189,13.8,280.9,5.7
94086,30,50477,30-Aug,19-Sep,58,2567,63,5.5,242.2,2.5
94086,31,50477,20-Sep,10-Oct,31,3116,35,2.9,294,1.1
94086,44,50477,20-Jun,10-Jul,19,3025,21,1.8,285.4,0.7
94086,36,50477,3-Jan,23-Jan,383,6948,427,36.1,655.5,6.1
94086,26,50477,7-Jun,27-Jun,24,1587,32,2.3,149.7,2
94086,63,50477,24-Jul,13-Aug,258,2647,307,24.3,249.7,11.6
94086,67,50477,16-Oct,5-Nov,39,984,41,3.7,92.8,4.2
94086,60,50477,22-May,11-Jun,465,4770,523,43.9,450,11
94086,25,50477,17-May,6-Jun,,899,,0.6,84.8,0.8
94086,57,50477,20-Mar,9-Apr,65,4362,76,6.1,411.5,1.7
94086,40,50477,28-Mar,17-Apr,52,5655,63,4.9,533.5,1.1
94086,32,50477,11-Oct,31-Oct,47,3675,55,4.4,346.7,1.5
94086,42,50477,9-May,29-May,20,4346,27,1.9,410,0.6
94086,62,50477,3-Jul,23-Jul,401,3150,444,37.8,297.2,14.1
94086,24,50477,26-Apr,16-May,14,572,27,1.3,54,4.7
94086,58,50477,10-Apr,30-Apr,168,4214,179,15.8,397.5,4.2
94086,51,50477,14-Nov,4-Dec,58,6659,72,5.5,628.2,1.1
94086,55,50477,6-Feb,26-Feb,177,7161,255,16.7,675.6,3.6
94086,22,50477,15-Mar,4-Apr,12,155,12,1.1,14.6,7.7
94086,21,50477,23-Feb,14-Mar,,,,0.3,0.8,37.5
94086,19,50477,12-Jan,1-Feb,0,,,0,0.2,50
94086,18,50477,22-Dec,11-Jan,0,,,0,0.1,0
94086,64,50477,14-Aug,3-Sep,179,2432,196,16.9,229.4,8.1
94086,47,50477,22-Aug,11-Sep,150,6882,179,14.2,649.2,2.6
94086,45,50477,11-Jul,31-Jul,75,3834,90,7.1,361.7,2.3
94086,27,50477,28-Jun,18-Jul,74,2621,84,7,247.3,3.2
94086,23,50477,5-Apr,25-Apr,,320,13,0.8,30.2,4.1
94086,46,50477,1-Aug,21-Aug,104,5524,114,9.8,521.1,2.1
94086,37,50477,24-Jan,13-Feb,148,5832,174,14,550.2,3
94086,52,50477,5-Dec,25-Dec,125,6997,145,11.8,660.1,2.1
94086,33,50477,1-Nov,21-Nov,104,4642,125,9.8,437.9,2.7
94086,41,50477,18-Apr,8-May,55,5270,68,5.2,497.2,1.3
94086,39,50477,7-Mar,27-Mar,51,5728,68,4.8,540.4,1.2
94086,54,50477,16-Jan,5-Feb,944,10693,1190,89.1,1008.8,11.1
94086,38,50477,14-Feb,6-Mar,75,5461,88,7.1,515.2,1.6
94086,66,50477,25-Sep,15-Oct,91,2149,101,8.6,202.7,4.7
94086,50,50477,24-Oct,13-Nov,57,6403,72,5.4,604,1.1
94086,28,50477,19-Jul,8-Aug,66,2428,78,6.2,229.1,3.2
94086,43,50477,30-May,19-Jun,,3457,,0.8,326.1,0.3
94086,56,50477,27-Feb,19-Mar,75,4949,90,7.1,466.9,1.8
94086,48,50477,12-Sep,2-Oct,48,7362,66,4.5,694.5,0.9
94086,49,50477,3-Oct,23-Oct,40,6940,45,3.8,654.7,0.6
94086,65,50477,4-Sep,24-Sep,107,2348,119,10.1,221.5,5.1
94086,59,50477,1-May,21-May,388,5418,444,36.6,511.1,8.2
94086,29,50477,9-Aug,29-Aug,46,2435,55,4.3,229.7,2.3
94086,53,50477,26-Dec,15-Jan,1347,11252,1523,127.1,1061.5,13.5
94086,35,50477,13-Dec,2-Jan,453,6030,496,42.7,568.9,8.2
94086,61,50477,12-Jun,2-Jul,424,3615,477,40,341,13.2
94086,34,50477,22-Nov,12-Dec,232,5434,254,21.9,512.6,4.7
94085,46,23223,1-Aug,21-Aug,54,2747,70,11.1,563.3,2.5
94085,43,23223,30-May,19-Jun,,1662,11,1.6,340.8,0.7
94085,47,23223,22-Aug,11-Sep,74,3430,88,15.2,703.3,2.6
94085,24,23223,26-Apr,16-May,,255,,0.8,52.3,2
94085,37,23223,24-Jan,13-Feb,121,3120,141,24.8,639.8,4.5
94085,34,23223,22-Nov,12-Dec,132,2691,141,27.1,551.8,5.2
94085,33,23223,1-Nov,21-Nov,60,2251,65,12.3,461.6,2.9
94085,67,23223,16-Oct,5-Nov,20,409,23,4.1,83.9,5.6
94085,45,23223,11-Jul,31-Jul,46,1819,51,9.4,373,2.8
94085,60,23223,22-May,11-Jun,280,2269,317,57.4,465.3,14
94085,38,23223,14-Feb,6-Mar,34,2660,39,7,545.4,1.5
94085,66,23223,25-Sep,15-Oct,46,949,63,9.4,194.6,6.6
94085,25,23223,17-May,6-Jun,,463,,0.6,94.9,0.6
94085,62,23223,3-Jul,23-Jul,219,1615,263,44.9,331.2,16.3
94085,41,23223,18-Apr,8-May,15,2492,24,3.1,511,1
94085,36,23223,3-Jan,23-Jan,248,3961,285,50.9,812.2,7.2
94085,49,23223,3-Oct,23-Oct,23,2904,28,4.7,595.5,1
94085,55,23223,6-Feb,26-Feb,97,3215,138,19.9,659.2,4.3
94085,26,23223,7-Jun,27-Jun,31,797,32,6.4,163.4,4
94085,32,23223,11-Oct,31-Oct,24,1871,29,4.9,383.7,1.5
94085,48,23223,12-Sep,2-Oct,32,3253,44,6.6,667,1.4
94085,42,23223,9-May,29-May,,2110,,1.4,432.7,0.4
94085,22,23223,15-Mar,4-Apr,,78,,1.8,16,11.5
94085,28,23223,19-Jul,8-Aug,65,1295,75,13.3,265.5,5.8
94085,21,23223,23-Feb,14-Mar,,,,0.6,2.1,30
94085,19,23223,12-Jan,1-Feb,0,,,0,0.2,0
94085,18,23223,22-Dec,11-Jan,0,,,0,0.2,100
94085,65,23223,4-Sep,24-Sep,51,1067,63,10.5,218.8,5.9
94085,40,23223,28-Mar,17-Apr,28,2817,30,5.7,577.6,1.1
94085,54,23223,16-Jan,5-Feb,482,5249,638,98.8,1076.3,12.2
94085,35,23223,13-Dec,2-Jan,231,3296,261,47.4,675.8,7.9
94085,58,23223,10-Apr,30-Apr,66,1843,78,13.5,377.9,4.2
94085,50,23223,24-Oct,13-Nov,27,2882,30,5.5,591,1
94085,39,23223,7-Mar,27-Mar,15,2781,17,3.1,570.2,0.6
94085,56,23223,27-Feb,19-Mar,37,2251,47,7.6,461.6,2.1
94085,44,23223,20-Jun,10-Jul,14,1476,17,2.9,302.7,1.2
94085,53,23223,26-Dec,15-Jan,891,5880,1051,182.7,1205.7,17.9
94085,52,23223,5-Dec,25-Dec,69,3191,76,14.1,654.3,2.4
94085,31,23223,20-Sep,10-Oct,14,1485,16,2.9,304.5,1.1
94085,29,23223,9-Aug,29-Aug,65,1314,73,13.3,269.4,5.6
94085,23,23223,5-Apr,25-Apr,,163,,1.8,33.4,5.5
94085,30,23223,30-Aug,19-Sep,18,1295,20,3.7,265.5,1.5
94085,51,23223,14-Nov,4-Dec,51,2992,57,10.5,613.5,1.9
94085,64,23223,14-Aug,3-Sep,92,1091,111,18.9,223.7,10.2
94085,59,23223,1-May,21-May,165,2315,192,33.8,474.7,8.3
94085,63,23223,24-Jul,13-Aug,150,1348,190,30.8,276.4,14.1
94085,61,23223,12-Jun,2-Jul,219,1696,255,44.9,347.8,15
94085,27,23223,28-Jun,18-Jul,53,1379,61,10.9,282.8,4.4
94085,57,23223,20-Mar,9-Apr,30,1949,34,6.2,399.6,1.7
